seed,transfer,prevalence,budget,noise,level,success
9201,0.25,0.75,40,0.4,family,0.6033333333333334
9201,0.25,0.75,40,0.4,failure,0.6933333333333334
9202,0.25,0.75,40,0.4,global,0.45666666666666667
9202,0.25,0.75,40,0.4,capability,0.52
9202,0.25,0.75,40,0.4,family,0.5766666666666667
9202,0.25,0.75,40,0.4,failure,0.6866666666666666
9203,0.25,0.75,40,0.4,global,0.4866666666666667
9203,0.25,0.75,40,0.4,capability,0.6166666666666667
9203,0.25,0.75,40,0.4,family,0.5966666666666667
9203,0.25,0.75,40,0.4,failure,0.5833333333333334
9204,0.25,0.75,40,0.4,global,0.4766666666666667
9204,0.25,0.75,40,0.4,capability,0.5233333333333333
9204,0.25,0.75,40,0.4,family,0.6766666666666666
9204,0.25,0.75,40,0.4,failure,0.6566666666666666
9205,0.25,0.75,40,0.4,global,0.48
9205,0.25,0.75,40,0.4,capability,0.5733333333333334
9205,0.25,0.75,40,0.4,family,0.5366666666666666
9205,0.25,0.75,40,0.4,failure,0.6466666666666666
9206,0.25,0.75,40,0.4,global,0.5766666666666667
9206,0.25,0.75,40,0.4,capability,0.64
9206,0.25,0.75,40,0.4,family,0.6533333333333333
9206,0.25,0.75,40,0.4,failure,0.6333333333333333
9201,0.25,1.0,40,0.4,global,0.55
9201,0.25,1.0,40,0.4,capability,0.6066666666666667
9201,0.25,1.0,40,0.4,family,0.6433333333333333
9201,0.25,1.0,40,0.4,failure,0.7633333333333333
9202,0.25,1.0,40,0.4,global,0.45
9202,0.25,1.0,40,0.4,capability,0.53
9202,0.25,1.0,40,0.4,family,0.67
9202,0.25,1.0,40,0.4,failure,0.7433333333333333
9203,0.25,1.0,40,0.4,global,0.48333333333333334
9203,0.25,1.0,40,0.4,capability,0.6566666666666666
9203,0.25,1.0,40,0.4,family,0.6833333333333333
9203,0.25,1.0,40,0.4,failure,0.6733333333333333
9204,0.25,1.0,40,0.4,global,0.4866666666666667
9204,0.25,1.0,40,0.4,capability,0.59
9204,0.25,1.0,40,0.4,family,0.7133333333333334
9204,0.25,1.0,40,0.4,failure,0.72
9205,0.25,1.0,40,0.4,global,0.53
9205,0.25,1.0,40,0.4,capability,0.6266666666666667
9205,0.25,1.0,40,0.4,family,0.61
9205,0.25,1.0,40,0.4,failure,0.7233333333333334
9206,0.25,1.0,40,0.4,global,0.56
9206,0.25,1.0,40,0.4,capability,0.6533333333333333
9206,0.25,1.0,40,0.4,family,0.6966666666666667
