noise,budget,transfer,prevalence,level,mean,std,count
0.0,160,1.0,0.25,family,0.6427777777777778,0.038263220905643554,6
0.0,160,1.0,0.25,global,0.87,0.01943650631615101,6
0.0,160,1.0,0.5,capability,0.7716666666666666,0.023921166824012206,6
0.0,160,1.0,0.5,failure,0.7188888888888889,0.02482531563336702,6
0.0,160,1.0,0.5,family,0.715,0.029495762407505274,6
0.0,160,1.0,0.5,global,0.8733333333333334,0.01490711984999857,6
0.0,160,1.0,0.75,capability,0.8122222222222222,0.02688797059956295,6
0.0,160,1.0,0.75,failure,0.7833333333333333,0.020548046676563254,6
0.0,160,1.0,0.75,family,0.7688888888888888,0.023158071946867597,6
0.0,160,1.0,0.75,global,0.8716666666666667,0.03998610869900805,6
0.0,160,1.0,1.0,capability,0.8488888888888889,0.018338383142913597,6
0.0,160,1.0,1.0,failure,0.8394444444444445,0.02559658542042638,6
0.0,160,1.0,1.0,family,0.8361111111111111,0.02425940062158421,6
0.0,160,1.0,1.0,global,0.8683333333333333,0.015018507101425093,6
0.2,40,0.0,0.25,capability,0.5088888888888888,0.05027332699759792,6
0.2,40,0.0,0.25,failure,0.5133333333333333,0.05473166867139679,6
0.2,40,0.0,0.25,family,0.4911111111111111,0.03344425987398315,6
0.2,40,0.0,0.25,global,0.44277777777777777,0.04250054465881933,6
0.2,40,0.0,0.5,capability,0.5555555555555556,0.06618716447122314,6
0.2,40,0.0,0.5,failure,0.6288888888888889,0.03550691116868293,6
0.2,40,0.0,0.5,family,0.5427777777777778,0.023983018683751755,6
0.2,40,0.0,0.5,global,0.4477777777777778,0.04554200340426487,6
0.2,40,0.0,0.75,capability,0.5622222222222222,0.05361039147473257,6
0.2,40,0.0,0.75,failure,0.7055555555555556,0.04568815390675582,6
0.2,40,0.0,0.75,family,0.5783333333333334,0.04395704974429272,6
0.2,40,0.0,0.75,global,0.4266666666666666,0.05999999999999999,6
0.2,40,0.0,1.0,capability,0.5855555555555555,0.06483026270934715,6
0.2,40,0.0,1.0,failure,0.7966666666666667,0.036998498468030966,6
0.2,40,0.0,1.0,family,0.6422222222222222,0.07461506153188785,6
0.2,40,0.0,1.0,global,0.425,0.09015418890865681,6
0.2,40,0.25,0.25,capability,0.5272222222222221,0.04260499014417425,6
0.2,40,0.25,0.25,failure,0.52,0.04093355048802333,6
0.2,40,0.25,0.25,family,0.5133333333333333,0.04604345773288537,6
0.2,40,0.25,0.25,global,0.4666666666666666,0.02118699810942762,6
0.2,40,0.25,0.5,capability,0.5772222222222222,0.060641630975818976,6
0.2,40,0.25,0.5,failure,0.6272222222222222,0.041708867517946696,6
0.2,40,0.25,0.5,family,0.5877777777777777,0.05991351792066322,6
0.2,40,0.25,0.5,global,0.4872222222222222,0.03241513135467359,6
0.2,40,0.25,0.75,capability,0.5861111111111111,0.04489081404012615,6
0.2,40,0.25,0.75,failure,0.7083333333333334,0.025188180649750067,6
0.2,40,0.25,0.75,family,0.6383333333333333,0.04951991742947699,6
0.2,40,0.25,0.75,global,0.47055555555555556,0.03940765107137149,6
0.2,40,0.25,1.0,capability,0.6233333333333334,0.047093288033198344,6
0.2,40,0.25,1.0,failure,0.7933333333333333,0.0163299316185545,6
0.2,40,0.25,1.0,family,0.71,0.05320818650462648,6
0.2,40,0.25,1.0,global,0.47,0.049710271686152656,6
0.2,40,0.5,0.25,capability,0.5438888888888889,0.03617345046465044,6
0.2,40,0.5,0.25,failure,0.5355555555555555,0.043546484316145405,6
0.2,40,0.5,0.25,family,0.5283333333333333,0.0549241901776136,6
0.2,40,0.5,0.25,global,0.4894444444444444,0.04419234054633184,6
0.2,40,0.5,0.5,capability,0.5794444444444444,0.05384820915898345,6
0.2,40,0.5,0.5,failure,0.6361111111111111,0.0392381145014593,6
0.2,40,0.5,0.5,family,0.6016666666666667,0.05158595846847386,6
0.2,40,0.5,0.5,global,0.5077777777777778,0.08481788770108625,6
0.2,40,0.5,0.75,capability,0.6,0.04356349134054543,6
0.2,40,0.5,0.75,failure,0.6988888888888889,0.02535671435661495,6
0.2,40,0.5,0.75,family,0.648888888888889,0.05014054321678289,6
0.2,40,0.5,0.75,global,0.4938888888888889,0.0739794766334756,6
0.2,40,0.5,1.0,capability,0.6177777777777779,0.06020951075357766,6
0.2,40,0.5,1.0,failure,0.7811111111111111,0.038796716164969276,6
0.2,40,0.5,1.0,family,0.7127777777777777,0.06191092765387195,6
0.2,40,0.5,1.0,global,0.5122222222222222,0.10240804366556079,6
0.2,40,0.75,0.25,capability,0.5683333333333334,0.03456073558887955,6
0.2,40,0.75,0.25,failure,0.5427777777777778,0.046495718640019425,6
0.2,40,0.75,0.25,family,0.5516666666666666,0.053944415837044735,6
0.2,40,0.75,0.25,global,0.5072222222222222,0.020593058880945148,6
0.2,40,0.75,0.5,capability,0.6305555555555555,0.06760725361039852,6
0.2,40,0.75,0.5,failure,0.6588888888888889,0.03506607519568778,6
0.2,40,0.75,0.5,family,0.6327777777777778,0.05126907955599083,6
0.2,40,0.75,0.5,global,0.5261111111111111,0.02533479527945414,6
0.2,40,0.75,0.75,capability,0.6372222222222222,0.056269852463786456,6
0.2,40,0.75,0.75,failure,0.7377777777777778,0.018459164139817935,6
0.2,40,0.75,0.75,family,0.686111111111111,0.04348264873188777,6
0.2,40,0.75,0.75,global,0.5027777777777778,0.02515875519502036,6
0.2,40,0.75,1.0,capability,0.6733333333333333,0.06525164961729145,6
