seed,level,support_entropy,coverage,state_repair,heldout,external,target_success,all_skill_gain
9131,capability,0.46332831856318235,0.06666666666666667,0.5375892133636968,0.64,0.618,0.846,0.31364753578461557
9131,family,0.2696869780256634,0.047058823529411764,0.6412263899595491,0.526,0.48,0.832,0.20195056771729974
9131,failure,0.23480209037569963,0.043137254901960784,0.5665198495193936,0.534,0.494,0.836,0.18012575616841464
9132,global,0.559780858181398,0.12549019607843137,0.3451057442599885,0.698,0.64,0.652,0.35807681725799256
9132,capability,0.4641687888204401,0.07450980392156863,0.5531707615309828,0.62,0.556,0.838,0.3205287445650242
9132,family,0.22775054952955587,0.027450980392156862,0.6196492336042179,0.526,0.444,0.824,0.17591132449648966
9132,failure,0.14972631649223211,0.03529411764705882,0.5359075105904679,0.438,0.368,0.816,0.1290930225801793
9133,global,0.5731762752360726,0.12941176470588237,0.4210029066119799,0.702,0.67,0.76,0.37526561784422885
9133,capability,0.46022046352623774,0.06274509803921569,0.5574107237462542,0.626,0.572,0.868,0.3194239272628823
9133,family,0.3185346977133513,0.050980392156862744,0.5877166738912587,0.5,0.466,0.856,0.20368751326246012
9133,failure,0.20848099440835596,0.0392156862745098,0.5674481635739165,0.482,0.41,0.844,0.16186716073274632
9134,global,0.5743590051403418,0.12941176470588237,0.32091460864613225,0.722,0.654,0.688,0.36590552134553667
9134,capability,0.4732425800621055,0.07450980392156863,0.6097907117920113,0.64,0.602,0.852,0.31365806032804344
9134,family,0.2620954283453172,0.0392156862745098,0.560553360815198,0.504,0.43,0.832,0.18757405031897645
9134,failure,0.21717154410907824,0.043137254901960784,0.5860850237694023,0.55,0.504,0.84,0.18263271922230154
9135,global,0.6099000036371148,0.1450980392156863,0.4133951077257601,0.776,0.698,0.724,0.4436134888357798
9135,capability,0.43801110633071916,0.06274509803921569,0.6463012722809549,0.62,0.55,0.836,0.32406659323702974
9135,family,0.23566531101071994,0.027450980392156862,0.6273569302077757,0.506,0.422,0.816,0.18449761883269822
9135,failure,0.1792245821751063,0.03137254901960784,0.6598221705606511,0.48,0.402,0.82,0.15631591743121098
9136,global,0.5840194980785222,0.12549019607843137,0.3230983466966528,0.76,0.68,0.74,0.3962188744185523
9136,capability,0.4763830074135593,0.08235294117647059,0.6492814210315718,0.654,0.544,0.84,0.32969685307389796
9136,family,0.2581279512554312,0.0392156862745098,0.5187023732027746,0.512,0.434,0.822,0.17229237074738077
9136,failure,0.21629311200920023,0.03137254901960784,0.5869442992610275,0.502,0.446,0.82,0.16875249215151042
9137,global,0.593259547328242,0.13333333333333333,0.4388164188209171,0.722,0.68,0.756,0.3815862133044502
9137,capability,0.48529740010472927,0.0784313725490196,0.5569137814274663,0.628,0.608,0.822,0.32899879832101364
9137,family,0.2590319597221994,0.0392156862745098,0.5593696035437612,0.494,0.416,0.802,0.17620786319213017
9137,failure,0.22152757972374512,0.0392156862745098,0.603400998145656,0.472,0.422,0.802,0.17734567113493066
9138,global,0.6061840922793678,0.1450980392156863,0.34704334201349524,0.722,0.67,0.744,0.4128698599409293
9138,capability,0.48301850796148926,0.08235294117647059,0.6005115099529368,0.66,0.622,0.85,0.3283415739578359
9138,family,0.27580217450154704,0.050980392156862744,0.533212496770221,0.484,0.452,0.81,0.18862902432285145
9138,failure,0.1867298795666975,0.0392156862745098,0.6559346633561203,0.46,0.428,0.814,0.16201856069452267
9139,global,0.594006325096066,0.1450980392156863,0.32195458715613423,0.688,0.648,0.686,0.38470321209849706
