seed,kind,method,round,heldout,external,fail_tool,fail_arg,fail_order,fail_state,fail_termination,fail_recovery,fail_constraint,fail_verification
9001,tabular,family,0,0.2966666666666667,0.22,0.7288135593220338,0.6346153846153846,0.7708333333333334,0.6875,0.7586206896551724,0.6724137931034483,0.671875,0.7424242424242424
9001,tabular,family,1,0.7,0.6066666666666667,0.36666666666666664,0.2153846153846154,0.30158730158730157,0.26229508196721313,0.20270270270270271,0.2727272727272727,0.36,0.4186046511627907
9001,tabular,family,2,0.8466666666666667,0.82,0.16393442622950818,0.0847457627118644,0.11320754716981132,0.0967741935483871,0.21666666666666667,0.15384615384615385,0.2033898305084746,0.12962962962962962
9001,tabular,family,3,0.8466666666666667,0.8366666666666667,0.2222222222222222,0.1,0.20634920634920634,0.23529411764705882,0.07407407407407407,0.13725490196078433,0.11475409836065574,0.12698412698412698
9001,tabular,failure,0,0.32666666666666666,0.24,0.7288135593220338,0.5961538461538461,0.7083333333333334,0.625,0.7586206896551724,0.6551724137931034,0.671875,0.6818181818181818
9001,tabular,failure,1,0.7133333333333334,0.6,0.31666666666666665,0.13846153846153847,0.2857142857142857,0.22950819672131148,0.1891891891891892,0.36363636363636365,0.38,0.3953488372093023
9001,tabular,failure,2,0.8433333333333334,0.8166666666666667,0.16393442622950818,0.0847457627118644,0.11320754716981132,0.12903225806451613,0.21666666666666667,0.15384615384615385,0.2033898305084746,0.12962962962962962
9001,tabular,failure,3,0.8466666666666667,0.8366666666666667,0.2222222222222222,0.1,0.20634920634920634,0.23529411764705882,0.07407407407407407,0.13725490196078433,0.11475409836065574,0.12698412698412698
9001,tabular,random_gran,0,0.30666666666666664,0.22333333333333333,0.7288135593220338,0.6730769230769231,0.7291666666666666,0.640625,0.7758620689655172,0.6551724137931034,0.671875,0.696969696969697
9001,tabular,random_gran,1,0.7166666666666667,0.5833333333333334,0.31666666666666665,0.2153846153846154,0.2857142857142857,0.2459016393442623,0.16216216216216217,0.2727272727272727,0.38,0.4186046511627907
9001,tabular,random_gran,2,0.84,0.8266666666666667,0.16393442622950818,0.0847457627118644,0.11320754716981132,0.11290322580645161,0.21666666666666667,0.15384615384615385,0.23728813559322035,0.12962962962962962
9001,tabular,random_gran,3,0.8466666666666667,0.8366666666666667,0.2222222222222222,0.1,0.20634920634920634,0.23529411764705882,0.07407407407407407,0.13725490196078433,0.11475409836065574,0.12698412698412698
9002,tabular,uniform,0,0.33666666666666667,0.3,0.6226415094339622,0.6981132075471698,0.64,0.7272727272727273,0.6792452830188679,0.6349206349206349,0.6610169491525424,0.6891891891891891
9002,tabular,uniform,1,0.7933333333333333,0.7,0.2153846153846154,0.3181818181818182,0.10638297872340426,0.16666666666666666,0.20689655172413793,0.1935483870967742,0.13636363636363635,0.24242424242424243
9002,tabular,uniform,2,0.84,0.8366666666666667,0.14545454545454545,0.1320754716981132,0.21212121212121213,0.16363636363636364,0.21428571428571427,0.12162162162162163,0.1267605633802817,0.23076923076923078
9002,tabular,uniform,3,0.86,0.84,0.1111111111111111,0.08955223880597014,0.16666666666666666,0.16923076923076924,0.09615384615384616,0.11666666666666667,0.16666666666666666,0.0851063829787234
9002,tabular,difficulty,0,0.32666666666666666,0.2966666666666667,0.660377358490566,0.6981132075471698,0.62,0.7090909090909091,0.6792452830188679,0.6825396825396826,0.6610169491525424,0.6891891891891891
9002,tabular,difficulty,1,0.8233333333333334,0.7666666666666667,0.15384615384615385,0.22727272727272727,0.0425531914893617,0.18181818181818182,0.1724137931034483,0.22580645161290322,0.13636363636363635,0.18181818181818182
9002,tabular,difficulty,2,0.84,0.8366666666666667,0.14545454545454545,0.1320754716981132,0.21212121212121213,0.16363636363636364,0.21428571428571427,0.12162162162162163,0.1267605633802817,0.23076923076923078
9002,tabular,difficulty,3,0.86,0.84,0.1111111111111111,0.08955223880597014,0.16666666666666666,0.16923076923076924,0.09615384615384616,0.11666666666666667,0.16666666666666666,0.0851063829787234
9002,tabular,capability,0,0.3233333333333333,0.28,0.660377358490566,0.7358490566037735,0.62,0.7090909090909091,0.6981132075471698,0.6825396825396826,0.6610169491525424,0.6756756756756757
